Description,Gene_symbol
long intergenic non-protein coding RNA 1449,LINC01449
ribosomal protein L21 pseudogene 32,RPL21P32
MIR181A2 host gene,MIR181A2HG
EDRF1 divergent transcript,EDRF1-DT
dermatan sulfate epimerase pseudogene,LOC347097
long intergenic non-protein coding RNA 1853,LINC01853
TCEAL3 antisense RNA 1,TCEAL3-AS1
EPB41L4A antisense RNA 1,EPB41L4A-AS1
chromodomain Y-linked 8 pseudogene,CDY8P
long intergenic non-protein coding RNA 2561,LINC02561
splicing factor proline and glutamine rich pseudogene 1,SFPQP1
CDYL pseudogene 1,CDYLP1
high mobility group nucleosome binding domain 1 pseudogene 4,HMGN1P4
MT-ND4 pseudogene 6,MTND4P6
CCNT2 antisense RNA 1,CCNT2-AS1
progestagen associated endometrial protein pseudogene 1,PAEPP1
DMTF1 antisense RNA 1,DMTF1-AS1
long intergenic non-protein coding RNA 2612,LINC02612
glyceraldehyde 3 phosphate dehydrogenase pseudogene 55,GAPDHP55
EGFR antisense RNA 1,EGFR-AS1
RBIS pseudogene 5,RBISP5
heat shock protein family A (Hsp70) member 8 pseudogene 16,HSPA8P16
arylsulfatase L pseudogene 1,ARSLP1
SRSF3 pseudogene 4,SRSF3P4
TUBB4B pseudogene 5,TUBB4BP5
CALCRL and TFPI antisense RNA 1,CALCRL-AS1
ribosomal protein L32 pseudogene 6,RPL32P6
sorcin pseudogene 2,SRIP2
high mobility group nucleosome binding domain 1 pseudogene 6,HMGN1P6
DNA methyltransferase 3A pseudogene 1,DNMT3AP1
VEZT pseudogene 1,VEZTP1
long intergenic non-protein coding RNA 691,LINC00691
"testis expressed transcript, Y-linked 22",TTTY22
small nucleolar RNA host gene 14,SNHG14
UBE2F pseudogene 1,UBE2FP1
UBTF like 8 (pseudogene),UBTFL8
MT-CO1 pseudogene 11,MTCO1P11
ribosomal protein L23a pseudogene 41,RPL23AP41
PPM1F antisense RNA 1,PPM1F-AS1
POTEF antisense RNA 1,POTEF-AS1
cancer/testis antigen family 47 member A10,CT47A10
uncharacterized LOC100129175,LOC100129175
BCAR3 antisense RNA 1,BCAR3-AS1
ribosomal protein S24 pseudogene 8,RPS24P8
long intergenic non-protein coding RNA 1935,LINC01935
ELMO1 antisense RNA 1,ELMO1-AS1
"cytochrome P450 family 4 subfamily F member 25, pseudogene",CYP4F25P
embryonic testis differentiation homolog B,ETDB
centromere protein V like 3,CENPVL3
mitochondrial translational release factor 1 like pseudogene 2,MTRF1LP2
ribosomal protein S14 pseudogene 1,RPS14P1
INHBA antisense RNA 1,INHBA-AS1
PTPN2 pseudogene 2,PTPN2P2
autophagy related 12 pseudogene 2,ATG12P2
POU6F2 antisense RNA 1,POU6F2-AS1
"POM121 transmembrane nucleoporin like 10, pseudogene",POM121L10P
ubiquitin conjugating enzyme E2 S pseudogene 2,UBE2SP2
long intergenic non-protein coding RNA 1248,LINC01248
developmental pluripotency associated 2 pseudogene 2,DPPA2P2
long intergenic non-protein coding RNA 1857,LINC01857
MIR548X host gene,MIR548XHG
AMMECR1 intronic transcript 1,AMMECR1-IT1
ASH2L pseudogene 1,ASH2LP1
LHX8 antisense RNA 1,LHX8-AS1
USP9Y pseudogene 28,USP9YP28
BAZ2B antisense RNA 1,BAZ2B-AS1
long intergenic non-protein coding RNA 2054,LINC02054
HLA complex group 14,HCG14
high mobility group box 1 pseudogene 9,HMGB1P9
capicua transcriptional repressor pseudogene 10,CICP10
ribosomal protein S26 pseudogene 54,RPS26P54
ubiquinol-cytochrome c reductase hinge protein pseudogene 3,UQCRHP3
filamin C pseudogene,LOC392787
long intergenic non-protein coding RNA 2828,LINC02828
DNAJC27 antisense RNA 1,DNAJC27-AS1
PTPN13 like Y-linked pseudogene 1,PRYP1
"heat shock transcription factor Y-linked 6, pseudogene",HSFY6P
long intergenic non-protein coding RNA 2831,LINC02831
long intergenic non-protein coding RNA 570,LINC00570
succinate dehydrogenase complex subunit D pseudogene 6,SDHDP6
MIR3681 host gene,MIR3681HG
sorting nexin 18 pseudogene 9,SNX18P9
PITX1 antisense RNA 1,PITX1-AS1
long intergenic non-protein coding RNA 1991,LINC01991
ubiquitin conjugating enzyme E2 D3 pseudogene 4,UBE2D3P4
HOXD antisense growth-associated long non-coding RNA,HAGLR
long intergenic non-protein coding RNA 2667,LINC02667
SEZ6L antisense RNA 1,SEZ6L-AS1
CAMK2G antisense RNA 1,CAMK2G-AS1
ribosomal protein S23 pseudogene 10,RPS23P10
PHEX antisense RNA 1,PHEX-AS1
"glutathione S-transferase theta 3, pseudogene",GSTT3P
ZCRB1 pseudogene 1,ZCRB1P1
long intergenic non-protein coding RNA 466,LINC00466
"tripartite motif containing 60 pseudogene 5, Y-linked",TRIM60P5Y
C10orf67 antisense RNA 1,C10orf67-AS1
PRPF4B pseudogene 1,PRPF4BP1
SEC61G pseudogene 1,SEC61GP1
DTNB antisense RNA 1,DTNB-AS1
ribosomal protein S6 pseudogene 8,RPS6P8
long intergenic non-protein coding RNA 2636,LINC02636
VSTM2A overlapping transcript 1,VSTM2A-OT1
HAUS augmin like complex subunit 1 pseudogene 2,HAUS1P2
olfactory receptor family 2 subfamily L member 1 pseudogene,OR2L1P
long intergenic non-protein coding RNA 1832,LINC01832
KCTD5 pseudogene 1,KCTD5P1
olfactory receptor family 2 subfamily J member 4 pseudogene,OR2J4P
mitochondrial ribosome recycling factor pseudogene 1,MRRFP1
MICOS10 pseudogene 3,MICOS10P3
WARS2 intronic transcript 1,WARS2-IT1
CYCS pseudogene 49,CYCSP49
SOX1 overlapping transcript,SOX1-OT
"keratin 224, pseudogene",KRT224P
leishmanolysin like peptidase pseudogene,LOC100421692
MT-CO1 pseudogene 39,MTCO1P39
PDCL3 pseudogene 6,PDCL3P6
BBLN pseudogene 2,BBLNP2
VWC2L intronic transcript 1,VWC2L-IT1
long intergenic non-protein coding RNA 1133,LINC01133
ribosomal protein SA pseudogene 18,RPSAP18
CYCS pseudogene 12,CYCSP12
long intergenic non-protein coding RNA 2633,LINC02633
epigenetically induced MYC interacting lncRNA 1,EPIC1
uncharacterized LOC124905349,LOC124905349
RABGEF1 pseudogene 3,RABGEF1P3
endosulfine alpha pseudogene 1,ENSAP1
ARHGEF2 antisense RNA 1,ARHGEF2-AS1
DEAD-box helicase 19B pseudogene,LOC100421343
ribosomal protein S29 pseudogene 31,RPS29P31
ataxin 2 like pseudogene,LOC317727
SLC25A5 antisense RNA 1,SLC25A5-AS1
ribosomal protein L9 pseudogene 17,RPL9P17
long intergenic non-protein coding RNA 1142,LINC01142
MT-CYB pseudogene 11,MTCYBP11
"interferon induced protein with tetratricopeptide repeats 6, pseudogene",IFIT6P
RPL38 pseudogene 6,RPL38P6
PORCN divergent transcript,PORCN-DT
p53-induced noncoding RNA,PINCR
"olfactomedin family member 5, pseudogene",OLFM5P
mitochondrial ribosomal protein L49 pseudogene 1,MRPL49P1
required for meiotic nuclear division 1 homolog (S. cerevisiae) pseudogene,LOC100133316
MT-ATP6 pseudogene 16,MTATP6P16
olfactory receptor family 51 subfamily P member 1 pseudogene,OR51P1P
long intergenic non-protein coding RNA 2975,LINC02975
long intergenic non-protein coding RNA 1527,LINC01527
ankyrin repeat domain 30B pseudogene 2,ANKRD30BP2
long intergenic non-protein coding RNA 1567,LINC01567
WDTC1 divergent transcript,WDTC1-DT
mitochondrial coiled-coil domain 1 pseudogene 2,MCCD1P2
TCERG1 pseudogene 1,TCERG1P1
ribosomal protein L7 pseudogene 7,RPL7P7
general transcription factor IIi pseudogene 5,GTF2IP5
CHL1 antisense RNA 2,CHL1-AS2
ribosomal protein L12 pseudogene 14,RPL12P14
divergent-paired related homeobox pseudogene 1,DPRXP1
THAP domain containing 5 pseudogene 1,THAP5P1
MDC1 antisense RNA 1,MDC1-AS1
long intergenic non-protein coding RNA 297,LINC00297
glyceraldehyde 3 phosphate dehydrogenase pseudogene 20,GAPDHP20
ACTR2 pseudogene 1,ACTR2P1
family with sequence similarity 197 Y-linked member 1,FAM197Y1
"family with sequence similarity 8 member A3, pseudogene",FAM8A3P
MT-CYB pseudogene 45,MTCYBP45
sterol-C4-methyl oxidase pseudogene,SC4MOP
ribosomal protein L21 pseudogene 21,RPL21P21
AKR7A2P pseudogene 1,AKR7A2P2
lysine rich nucleolar protein 1 pseudogene 3,KNOP1P3
BICD cargo adaptor 1 pseudogene 1,BICD1P1
SCEL antisense RNA 1,SCEL-AS1
ribosomal protein L36 pseudogene 6,RPL36P6
FAM135A antisense RNA 1,FAM135A-AS1
CDKN2A interacting protein N-terminal like pseudogene 3,CDKN2AIPNLP3
"angiotensin I converting enzyme 3, pseudogene",ACE3P
MT-ND2 pseudogene 5,MTND2P5
autophagy related 3 pseudogene 1,ATG3P1
TMCO1 antisense RNA 1,TMCO1-AS1
"O-acyltransferase like, pseudogene",OACYLP
ARAF pseudogene 2,ARAFP2
"major histocompatibility complex, class I, N (pseudogene)",HLA-N
long intergenic non-protein coding RNA 703,LINC00703
proline rich 29,PRR29
BACE2 intronic transcript 1,BACE2-IT1
long intergenic non-protein coding RNA 1280,LINC01280
GPC6 antisense RNA 2,GPC6-AS2
methyltransferase like 15 pseudogene 3,METTL15P3
plaque enriched lncRNA in atherosclerotic and inflammatory bowel macrophage regulation,PELATON
ribosomal protein L7 pseudogene 57,RPL7P57
olfactory receptor family 6 subfamily D member 1 pseudogene,OR6D1P
developmental pluripotency associated 2 pseudogene 3,DPPA2P3
long intergenic non-protein coding RNA 572,LINC00572
long intergenic non-protein coding RNA 2052,LINC02052
USP9Y pseudogene 22,USP9YP22
"heat shock protein 90 alpha family class A member 2, pseudogene",HSP90AA2P
ATPase H+/K+ transporting non-gastric alpha2 subunit pseudogene,LOC100533848
"interferon alpha 22, pseudogene",IFNA22P
STK24 antisense RNA 1,STK24-AS1
keratin 18 pseudogene 27,KRT18P27
adrenomedullin 5 (putative),ADM5
ATP synthase membrane subunit f pseudogene 1,ATP5MFP1
PRKAR2A antisense RNA 1,PRKAR2A-AS1
SSBP3 pseudogene 2,SSBP3P2
solute carrier family 31 member 1 pseudogene 1,SLC31A1P1
long intergenic non-protein coding RNA 539,LINC00539
"makorin ring finger protein 5, pseudogene",MKRN5P
neurofibromin 1 pseudogene 6,NF1P6
phosphatidylinositol glycan anchor biosynthesis class U pseudogene 1,PIGUP1
ribosomal protein L23a pseudogene 14,RPL23AP14
ribosomal protein SA pseudogene 10,RPSAP10
chromosome X open reading frame 51A,CXorf51A
ribosomal protein L4 pseudogene 7,RPL4P7
NME2 pseudogene 2,NME2P2
long intergenic non-protein coding RNA 1708,LINC01708
H3 histone pseudogene 26,H3P26
ATP synthase peripheral stalk-membrane subunit b pseudogene 1,ATP5PBP1
ribosomal L24 domain containing 1 pseudogene 6,RSL24D1P6
GUSB pseudogene 6,GUSBP6
SLC25A34 and TMEM82 antisense RNA 1,SLC25A34-AS1
C4BPA pseudogene 1,C4BPAP1
ribosomal protein L39 pseudogene 14,RPL39P14
phosphoglycerate mutase 1 pseudogene 6,PGAM1P6
suppressor of cytokine signaling 2 pseudogene 2,SOCS2P2
cell division cycle associated 4 pseudogene 2,CDCA4P2
TANK antisense RNA 1,TANK-AS1
LAMC1 antisense RNA 1,LAMC1-AS1
ribosomal protein L18 pseudogene 5,RPL18P5
ataxin 1 like,ATXN1L
MT-CO3 pseudogene 19,MTCO3P19
cyclin D3 pseudogene 1,CCND3P1
ribosomal protein L7a pseudogene 40,RPL7AP40
ribosomal protein L36 pseudogene 16,RPL36P16
"cadherin related family member 18, pseudogene",CDHR18P
uncharacterized LOC124904403,LOC124904403
"heat shock transcription factor Y-linked 4, pseudogene",HSFY4P
USP9Y pseudogene 7,USP9YP7
HLA complex group 19 pseudogene,HCG19P
SAMM50 sorting and assembly machinery component pseudogene 1,SAMM50P1
TTC21B antisense RNA 1,TTC21B-AS1
heterogeneous nuclear ribonucleoprotein A3 pseudogene 14,HNRNPA3P14
ribosomal protein L36 pseudogene 4,RPL36P4
MAPKAPK5 pseudogene 1,MAPKAPK5P1
uncharacterized LOC101929662,LOC101929662
HEXIM2 antisense RNA 1,HEXIM2-AS1
long intergenic non-protein coding RNA 2523,LINC02523
MRPS9 antisense RNA 2,MRPS9-AS2
RNA polymerase II subunit K pseudogene 2,POLR2KP2
long intergenic non-protein coding RNA 365,LINC00365
long intergenic non-protein coding RNA 620,LINC00620
endothelin converting enzyme like 1 pseudogene 2,ECEL1P2
HTR2A antisense RNA 1,HTR2A-AS1
high mobility group nucleosome binding domain 1 pseudogene 19,HMGN1P19
keratin 8 pseudogene 45,KRT8P45
uncharacterized LOC124904576,LOC124904576
CYCS pseudogene 42,CYCSP42
replication factor C subunit 2 pseudogene,LOC100533727
peptidylprolyl isomerase A pseudogene 10,PPIAP10
small integral membrane protein 13,SMIM13
uncharacterized LOC105374901,LOC105374901
TMLHE antisense RNA 1,TMLHE-AS1
long intergenic non-protein coding RNA 2771,LINC02771
CSRP1 antisense RNA 1,CSRP1-AS1
meprin A subunit alpha pseudogene 4,MEP1AP4
"sarcoma antigen 4, pseudogene",SAGE4P
TFDP1 pseudogene 1,TFDP1P1
small nuclear ribonucleoprotein polypeptide G pseudogene 15,SNRPGP15
ribosomal protein L31 pseudogene 36,RPL31P36
eukaryotic translation initiation factor 4B pseudogene 3,EIF4BP3
zinc finger protein 619 pseudogene 1,ZNF619P1
NDUFA4 pseudogene 1,NDUFA4P1
high mobility group box 3 pseudogene 21,HMGB3P21
ribosomal protein S26 pseudogene 20,RPS26P20
"major histocompatibility complex, class II, DP beta 2 (pseudogene)",HLA-DPB2
long intergenic non-protein coding RNA 1087,LINC01087
ribosomal protein L4 pseudogene,LOC100419154
LPP antisense RNA 1,LPP-AS1
long intergenic non-protein coding RNA 1754,LINC01754
CIAO2A pseudogene 2,CIAO2AP2
long intergenic non-protein coding RNA 1886,LINC01886
C9orf78 pseudogene 2,C9orf78P2
USP9Y pseudogene 13,USP9YP13
ribosomal protein L7a pseudogene 78,RPL7AP78
COL18A1 antisense RNA 2,COL18A1-AS2
long intergenic non-protein coding RNA 1117,LINC01117
heterogeneous nuclear ribonucleoprotein A1 like 3,HNRNPA1L3
long intergenic non-protein coding RNA 1015,LINC01015
UBE2V1 pseudogene 13,UBE2V1P13
ORC1 pseudogene 1,ORC1P1
MT-ND3 pseudogene 16,MTND3P16
MIR3659 host gene,MIR3659HG
ribosomal protein L21 pseudogene 72,RPL21P72
ribosomal protein L29 pseudogene 19,RPL29P19
ZMIZ1 antisense RNA 1,ZMIZ1-AS1
RPS5 pseudogene 2,RPS5P2
BMS1 pseudogene 12,BMS1P12
ribosomal protein lateral stalk subunit P1 pseudogene 3,RPLP1P3
ribosomal protein S26 pseudogene 5,RPS26P5
TGFA intronic transcript 1,TGFA-IT1
immunoglobulin kappa variable 1D-27 (pseudogene),IGKV1D-27
uncharacterized LOC105373175,LOC105373175
TBPL1 pseudogene 1,TBPL1P1
RNPC3 divergent transcript,RNPC3-DT
TNK2 antisense RNA 1,TNK2-AS1
RTCA antisense RNA 1,RTCA-AS1
KLHL25 pseudogene 1,KLHL25P1
myocyte enhancer factor 2A pseudogene 1,MEF2AP1
olfactory receptor family 9 subfamily R member 1 pseudogene,OR9R1P
tubulin beta 8 class VIII pseudogene 6,TUBB8P6
ribosomal protein L37 pseudogene 10,RPL37P10
CDK5RAP3 pseudogene 1,CDK5RAP3P1
ribosomal protein L36a pseudogene 30,RPL36AP30
RPS27A pseudogene 16,RPS27AP16
NUDT19 pseudogene 2,NUDT19P2
"zinc finger protein 736 pseudogene 6, Y-linked",ZNF736P6Y
decaprenyl diphosphate synthase subunit 1 pseudogene 2,PDSS1P2
serine and arginine rich splicing factor 1 pseudogene 1,SRSF1P1
ribosomal protein S28 pseudogene 5,RPS28P5
long intergenic non-protein coding RNA 1627,LINC01627
long intergenic non-protein coding RNA 885,LINC00885
long intergenic non-protein coding RNA 1823,LINC01823
SMS pseudogene 1,SMSP1
"RNA binding motif protein Y-linked family 2 member B, pseudogene",RBMY2BP
G antigen 12J,GAGE12J
SH3BP5 antisense RNA 1,SH3BP5-AS1
ATPase H+ transporting V1 subunit G1 pseudogene 3,ATP6V1G1P3
ribosomal protein L36a pseudogene 53,RPL36AP53
ETV7 and PTX1 antisense RNA 1,ETV7-AS1
importin 8 pseudogene 1,IPO8P1
ribosomal protein L17 pseudogene 10,RPL17P10
EIF3E pseudogene 2,EIF3EP2
GALNT13 antisense RNA 1,GALNT13-AS1
protein disulfide isomerase family A member 3 pseudogene 2,PDIA3P2
glyceraldehyde 3 phosphate dehydrogenase pseudogene 46,GAPDHP46
mediator complex subunit 15 pseudogene 4,MED15P4
phospholipase A2 group XIIA pseudogene 1,PLA2G12AP1
suppressor of cytokine signaling 5 pseudogene 2,SOCS5P2
ribosomal protein L36a pseudogene 29,RPL36AP29
ribosomal protein L36a pseudogene 12,RPL36AP12
elongin C pseudogene 23,ELOCP23
RASAL2 antisense RNA 1,RASAL2-AS1
E2F transcription factor 6 pseudogene 2,E2F6P2
"zinc finger protein 812, pseudogene",ZNF812P
ubiquitin conjugating enzyme E2 D3 pseudogene 3,UBE2D3P3
MT-ND6 pseudogene 7,MTND6P7
neurofilament medium pseudogene 1,NEFMP1
LAMTOR5 and SLC16A4 antisense RNA 1,LAMTOR5-AS1
mediator complex subunit 28 pseudogene 4,MED28P4
LMX1A antisense RNA 2,LMX1A-AS2
ribosomal protein S17 pseudogene 13,RPS17P13
E2F3 intronic transcript 1,E2F3-IT1
olfactory receptor family 11 subfamily M member 1 pseudogene,OR11M1P
long intergenic non-protein coding RNA 1706,LINC01706
nuclear pore complex interacting protein family member A3,NPIPA3
long intergenic non-protein coding RNA 2671,LINC02671
uncharacterized LOC339685,LOC339685
LEMD1 divergent transcript,LEMD1-DT
long intergenic non-protein coding RNA 1657,LINC01657
FLVCR2 antisense RNA 1,FLVCR2-AS1
serine/arginine repetitive matrix 1 pseudogene 1,SRRM1P1
GUSB pseudogene 10,GUSBP10
centrosomal protein 57 like 1 pseudogene 1,CEP57L1P1
FCF1 pseudogene 7,FCF1P7
inosine monophosphate dehydrogenase 1 pseudogene 8,IMPDH1P8
PCOLCE antisense RNA 1,PCOLCE-AS1
LILRB1 antisense RNA 1,LILRB1-AS1
"MAGE family member A7, pseudogene",MAGEA7P
TEX26 antisense RNA 1,TEX26-AS1
MT-CYB pseudogene 21,MTCYBP21
SHMT1 pseudogene 1,SHMT1P1
vomeronasal 1 receptor 21 pseudogene,VN1R21P
high mobility group nucleosome binding domain 1 pseudogene 34,HMGN1P34
long intergenic non-protein coding RNA 1167,LINC01167
C1D nuclear receptor corepressor pseudogene 3,C1DP3
cyclin Y like 4 (pseudogene),CCNYL4
zinc finger protein 114 pseudogene,LOC100419691
farnesyl diphosphate synthase pseudogene 8,FDPSP8
long intergenic non-protein coding RNA 2931,LINC02931
"mucin 20, cell surface associated pseudogene 1",MUC20P1
ATP2B2 intronic transcript 2,ATP2B2-IT2
heat shock protein family A (Hsp70) member 8 pseudogene 7,HSPA8P7
BRAF pseudogene 1,BRAFP1
ribosomal protein SA pseudogene 50,RPSAP50
olfactory receptor family 4 subfamily F member 2 pseudogene,OR4F2P
centromere protein I pseudogene 1,CENPIP1
eukaryotic translation initiation factor 4A2 pseudogene 4,EIF4A2P4
mitochondrial intermediate peptidase pseudogene 2,MIPEPP2
S100 calcium binding protein A15A (pseudogene),S100A15A
ATP binding cassette subfamily E member 1 pseudogene,LOC442517
"centrin 4, pseudogene",CETN4P
long intergenic non-protein coding RNA 2670,LINC02670
HLCS antisense RNA 1,HLCS-AS1
keratin 18 pseudogene 39,KRT18P39
uncharacterized LOC124905119,LOC124905119
NTM antisense RNA 1,NTM-AS1
ribosomal protein L32 pseudogene 1,RPL32P1
ribosomal protein L37 pseudogene 17,RPL37P17
RPS27A pseudogene 6,RPS27AP6
TUBB4B pseudogene 2,TUBB4BP2
long intergenic non-protein coding RNA 853,LINC00853
ARL5A pseudogene 4,ARL5AP4
double homeobox 4 like 9 (pseudogene),DUX4L9
SRGAP3 antisense RNA 1,SRGAP3-AS1
BEN domain containing 3 pseudogene 2,BEND3P2
TMEM72 antisense RNA 1,TMEM72-AS1
septin 14 pseudogene 13,SEPTIN14P13
nucleosome assembly protein 1 like 4 pseudogene 2,NAP1L4P2
long intergenic non-protein coding RNA 3046,LINC03046
basic transcription factor 3 pseudogene 4,BTF3P4
COL4A2 antisense RNA 2,COL4A2-AS2
THRB intronic transcript 1,THRB-IT1
RORB antisense RNA 1,RORB-AS1
USP21 pseudogene 1,USP21P1
"long intergenic non-protein coding RNA 265-2, pseudogene",LINC00265-2P
TOMM20 pseudogene 1,TOMM20P1
olfactory receptor family 2 subfamily X member 1 pseudogene,OR2X1P
"transmembrane protein 183B, pseudogene",TMEM183BP
long intergenic non-protein coding RNA 1689,LINC01689
basic transcription factor 3 pseudogene 9,BTF3P9
GCSH pseudogene 5,GCSHP5
ribosomal protein L12 pseudogene 17,RPL12P17
LMX1B divergent transcript,LMX1B-DT
long intergenic non-protein coding RNA 240,LINC00240
NQO2 antisense RNA 1,NQO2-AS1
long intergenic non-protein coding RNA 502,LINC00502
MT-ND5 pseudogene 24,MTND5P24
long intergenic non-protein coding RNA 393,LINC00393
CDKN2A antisense RNA 1,CDKN2A-AS1
OPA1 antisense RNA 1,OPA1-AS1
ribosomal protein L35a pseudogene 36,RPL35AP36
long intergenic non-protein coding RNA 1691,LINC01691
ribosomal protein L29 pseudogene 11,RPL29P11
GXYLT1 pseudogene 2,GXYLT1P2
Y-box binding protein 1 pseudogene 1,YBX1P1
long intergenic non-protein coding RNA 1398,LINC01398
uncharacterized LOC101928782,LOC101928782
USP9Y pseudogene 25,USP9YP25
MRPL20 antisense RNA 1,MRPL20-AS1
chromodomain Y-linked 13 pseudogene,CDY13P
EML4 antisense RNA 1,EML4-AS1
NADH:ubiquinone oxidoreductase complex assembly factor 8,NDUFAF8
MT-CYB pseudogene 29,MTCYBP29
EIPR1 intronic transcript 1,EIPR1-IT1
NFYC pseudogene 2,NFYCP2
HSP90AB1 associated lncRNA 1,HSALR1
ARL14EP pseudogene 1,ARL14EPP1
ribosomal protein S4X pseudogene 16,RPS4XP16
long intergenic non-protein coding RNA 2840,LINC02840
VPS26B pseudogene 1,VPS26BP1
"sialic acid binding Ig like lectin 30, pseudogene",SIGLEC30P
long intergenic non-protein coding RNA 2830,LINC02830
G antigen 12H,GAGE12H
RNF32 antisense RNA 1,RNF32-AS1
SBF1 pseudogene 2,SBF1P2
SRP14 pseudogene 1,SRP14P1
ribosomal protein L21 pseudogene 91,RPL21P91
translocase of inner mitochondrial membrane 8B pseudogene 2,TIMM8BP2
long intergenic non-protein coding RNA 1766,LINC01766
long intergenic non-protein coding RNA 863,LINC00863
APOC4-APOC2 readthrough (NMD candidate),APOC4-APOC2
transforming acidic coiled-coil containing protein 1 pseudogene 1,TACC1P1
long intergenic non-protein coding RNA 320,LINC00320
NADH:ubiquinone oxidoreductase subunit A5 pseudogene 10,NDUFA5P10
keratin 8 pseudogene 30,KRT8P30
PWWP domain containing 3B pseudogene,LOC728307
long intergenic non-protein coding RNA 2262,LINC02262
long intergenic non-protein coding RNA 1034,LINC01034
GOT1 divergent transcript,GOT1-DT
uncharacterized LOC105375976,LOC105375976
SUCLA2 pseudogene 1,SUCLA2P1
long intergenic non-protein coding RNA 184,LINC00184
proline rich transmembrane protein 4,PRRT4
EED pseudogene 1,EEDP1
long intergenic non-protein coding RNA 2819,LINC02819
cancer susceptibility 6,CASC6
vomeronasal 1 receptor 25 pseudogene,VN1R25P
ATP synthase membrane subunit c locus 1 pseudogene 8,ATP5MC1P8
ribosomal protein L37 pseudogene 24,RPL37P24
sorcin pseudogene 3,SRIP3
potassium channel tetramerization domain containing 10 pseudogene 1,KCTD10P1
long intergenic non-protein coding RNA 1266,LINC01266
PGM5 antisense RNA 1,PGM5-AS1
protein phosphatase 4 regulatory subunit 3C,PPP4R3C
long intergenic non-protein coding RNA 1752,LINC01752
phosphoserine aminotransferase 1 pseudogene 4,PSAT1P4
"extracellular matrix protein X-linked, pseudogene",ECMXP
trafficking protein particle complex 2 pseudogene 3,TRAPPC2P3
KCNC4 divergent transcript,KCNC4-DT
TBC1 domain family member 3 pseudogene 6,TBC1D3P6
long intergenic non-protein coding RNA 1645,LINC01645
SUMO2 pseudogene 3,SUMO2P3
LARGE antisense RNA 1,LARGE-AS1
inactivation escape 1,INE1
poly(ADP-ribose) polymerase family member 4 pseudogene 2,PARP4P2
RC3H1 divergent transcript,RC3H1-DT
CD84 pseudogene 1,CD84P1
ribosomal protein L23a pseudogene 85,RPL23AP85
protein phosphatase 1 regulatory subunit 8 pseudogene 1,PPP1R8P1
"family with sequence similarity 41 member A, Y-linked 1",FAM41AY1
ribosomal protein L29 pseudogene 12,RPL29P12
long intergenic non-protein coding RNA 1526,LINC01526
vesicle trafficking 1 pseudogene 1,VTA1P1
olfactory receptor family 51 subfamily A member 5 pseudogene,OR51A5P
ribosomal protein L7a pseudogene 77,RPL7AP77
twinfilin 1 pseudogene 2,TWF1P2
potassium channel tetramerization domain containing 9 pseudogene 1,KCTD9P1
"long intergenic non-protein coding RNA 328-2, pseudogene",LINC00328-2P
"aconitase 2, mitochondrial pseudogene",LOC100420057
ubiquitin conjugating enzyme E2 D3 pseudogene 1,UBE2D3P1
ribosomal protein L37 pseudogene 11,RPL37P11
"kinesin family member 4C, pseudogene",KIF4CP
PFDN1 pseudogene 1,PFDN1P1
interferon omega 1 pseudogene 4,IFNWP4
eukaryotic translation initiation factor 4B pseudogene 7,EIF4BP7
uncharacterized LOC102723566,LOC102723566
cyclin dependent kinase 4 pseudogene 1,CDK4P1
EIF1AX antisense RNA 1,EIF1AX-AS1
long intergenic non-protein coding RNA 1058,LINC01058
ribosomal protein L18a pseudogene 2,RPL18AP2
MT-ND5 pseudogene 27,MTND5P27
uncharacterized LOC102724929,LOC102724929
high mobility group box 3 pseudogene 22,HMGB3P22
PRP38 domain containing A pseudogene 1,PRPF38AP1
CATIP antisense RNA 1,CATIP-AS1
TMCC2 antisense RNA 1,TMCC2-AS1
long intergenic non-protein coding RNA 1802,LINC01802
MDM4 pseudogene 1,MDM4P1
ribosomal protein L23a pseudogene 2,RPL23AP2
VTCN1 pseudogene 1,VTCN1P1
ribosomal protein S26 pseudogene 58,RPS26P58
olfactory receptor family 7 subfamily E member 116 pseudogene,OR7E116P
WWC3 antisense RNA 1,WWC3-AS1
ICMT divergent transcript,ICMT-DT
ferritin heavy chain 1 pseudogene 22,FTH1P22
profilin 1 pseudogene 4,PFN1P4
death associated protein 3 pseudogene 1,DAP3P1
GRTP1 antisense RNA 1,GRTP1-AS1
uncharacterized LOC101927839,LOC101927839
uncharacterized LOC105378798,LOC105378798
"small nucleolar RNA, H/ACA box 71A",SNORA71A
ribosomal protein L3 pseudogene 7,RPL3P7
SET pseudogene 20,SETP20
uncharacterized LOC101927293,LOC101927293
BCR pseudogene 1,BCRP1
ATPase H+ transporting V1 subunit E1 pseudogene 1,ATP6V1E1P1
DPY19L2 pseudogene 5,DPY19L2P5
olfactory receptor family 52 subfamily K member 3 pseudogene,OR52K3P
uncharacterized LOC101928253,LOC101928253
long intergenic non-protein coding RNA 1076,LINC01076
zinc finger and BTB domain containing 45 pseudogene 1,ZBTB45P1
PNMA family member 6F,PNMA6F
TCEAL9 pseudogene 1,TCEAL9P1
arylsulfatase D pseudogene 1,ARSDP1
eukaryotic translation elongation factor 1 beta 2 pseudogene 5,EEF1B2P5
ribosomal protein L23a pseudogene 36,RPL23AP36
RAN pseudogene 4,RANP4
CAMTA1 antisense RNA 1,CAMTA1-AS1
long intergenic non-protein coding RNA 237,LINC00237
long intergenic non-protein coding RNA 972,LINC00972
